Year,3,4,5,6,7,8,9,10,11,12,13,14
1955,4.790,25.164,46.566,28.287,10.541,5.224,2.467,25.182,2.101,1.202,1.668,0.665
1956,6.709,17.265,31.030,27.793,14.389,4.261,3.429,2.128,16.820,1.552,1.522,1.545
1957,13.240,21.278,17.515,24.569,17.634,12.296,3.568,2.169,1.171,6.822,0.512,1.089
1958,25.237,30.742,14.298,10.859,15.997,15.822,12.021,2.003,2.125,0.771,3.508,0.723
1959,18.394,37.650,23.901,7.682,5.883,8.791,13.003,7.683,0.914,0.990,0.218,1.287
1960,14.830,28.642,27.968,14.120,8.387,6.089,6.393,11.600,3.526,0.692,0.183,0.510
1961,16.507,21.808,19.488,15.034,7.900,6.925,3.969,3.211,6.756,1.202,0.089,0.425
1962,13.514,28.526,18.924,14.650,12.045,4.276,8.809,2.664,1.883,2.988,0.405,0.324
1963,18.507,28.466,19.664,11.314,15.682,7.704,2.724,6.508,1.657,1.030,1.372,0.246
1964,19.287,28.845,18.712,11.620,7.936,18.032,5.040,1.437,2.670,0.655,0.370,1.025
1965,21.658,29.586,24.783,11.706,9.334,6.394,11.122,1.477,0.823,0.489,0.118,0.489
1966,17.910,30.649,20.006,13.872,5.942,7.586,2.320,5.583,0.407,0.363,0.299,0.311
1967,25.945,27.941,24.322,11.320,8.751,2.595,5.490,1.392,1.998,0.109,0.030,0.106
1968,11.933,47.311,22.344,16.277,15.590,7.059,1.571,2.506,0.512,0.659,0.047,0.098
1969,11.149,23.925,45.445,17.397,12.559,14.811,1.590,0.475,0.340,0.064,0.024,0.021
1970,9.876,47.210,23.607,25.451,15.196,12.261,14.469,0.567,0.207,0.147,0.035,0.050
1971,13.060,35.856,45.577,21.135,17.340,10.924,6.001,4.210,0.237,0.069,0.038,0.020
1972,8.973,29.574,30.918,22.855,11.097,9.784,10.538,3.938,1.242,0.119,0.031,0.001
1973,36.538,25.542,27.391,17.045,12.721,3.685,4.718,5.809,1.134,0.282,0.007,0.001
1974,14.846,61.826,21.824,14.413,8.974,6.216,1.647,2.530,1.765,0.334,0.062,0.028
1975,29.301,29.489,44.138,12.088,9.628,3.691,2.051,0.752,0.891,0.416,0.060,0.046
1976,23.578,39.790,21.092,24.395,5.803,5.343,1.297,0.633,0.205,0.155,0.065,0.029
1977,2.614,42.659,32.465,12.162,13.017,2.809,1.773,0.421,0.086,0.024,0.006,0.002
1978,5.999,16.287,43.931,17.626,8.729,4.119,0.978,0.348,0.119,0.048,0.015,0.027
1979,7.186,28.427,13.772,34.443,14.130,4.426,1.432,0.350,0.168,0.043,0.024,0.004
1980,4.348,28.530,32.500,15.119,27.090,7.847,2.228,0.646,0.246,0.099,0.025,0.004
1981,2.118,13.297,39.195,23.247,12.710,26.455,4.804,1.677,0.582,0.228,0.053,0.068
1982,3.285,20.812,24.462,28.351,14.012,7.666,11.517,1.912,0.327,0.094,0.043,0.011
1983,3.554,10.910,24.305,18.944,17.382,8.381,2.054,2.733,0.514,0.215,0.064,0.037
1984,6.750,31.553,19.420,15.326,8.082,7.336,2.680,0.512,0.538,0.195,0.090,0.036
1985,6.457,24.552,35.392,18.267,8.711,4.201,2.264,1.063,0.217,0.233,0.102,0.038
1986,20.642,20.330,26.644,30.839,11.413,4.441,1.771,0.805,0.392,0.103,0.076,0.044
1987,11.002,62.130,27.192,15.127,15.695,4.159,1.463,0.592,0.253,0.142,0.046,0.058
1988,6.713,39.323,55.895,18.663,6.399,5.877,1.345,0.455,0.305,0.157,0.114,0.025
1989,2.605,27.983,50.059,31.455,6.010,1.915,0.881,0.225,0.107,0.086,0.038,0.005
1990,5.785,12.313,27.179,44.534,17.037,2.573,0.609,0.322,0.118,0.050,0.015,0.020
1991,8.554,25.131,15.491,21.514,25.038,6.364,0.903,0.243,0.125,0.063,0.011,0.012
1992,12.217,21.708,26.524,11.413,10.073,8.304,2.006,0.257,0.046,0.032,0.009,0.008
1993,20.500,33.078,15.195,13.281,3.583,2.785,2.707,1.181,0.180,0.034,0.011,0.013
1994,6.160,24.142,19.666,6.968,4.393,1.257,0.599,0.508,0.283,0.049,0.018,0.006
1995,10.770,9.103,16.829,13.066,4.115,1.596,0.313,0.184,0.156,0.141,0.029,0.008
1996,5.356,14.886,7.372,12.307,9.429,2.157,0.837,0.208,0.076,0.065,0.055,0.005
1997,1.722,16.442,17.298,6.711,7.379,5.958,1.147,0.493,0.126,0.028,0.037,0.021
1998,3.458,7.707,25.394,20.167,5.893,3.856,2.951,0.500,0.196,0.055,0.033,0.013
1999,2.525,19.554,15.226,24.622,12.966,2.795,1.489,0.748,0.140,0.046,0.010,0.005
2000,10.493,6.581,29.080,11.227,11.390,5.714,1.104,0.567,0.314,0.074,0.022,0.006
2001,11.338,25.040,9.311,19.471,5.620,3.929,2.017,0.452,0.202,0.118,0.013,0.009
2002,5.934,18.482,24.297,6.874,8.943,2.227,1.353,0.689,0.123,0.040,0.041,0.002
2003,3.950,16.160,21.874,18.145,5.063,4.419,1.124,0.401,0.172,0.034,0.020,0.015
2004,1.778,19.184,25.003,17.384,9.926,2.734,2.023,0.481,0.126,0.062,0.014,0.005
2005,5.102,5.125,26.749,16.980,8.339,4.682,1.292,0.913,0.203,0.089,0.025,0.002
2006,3.258,12.884,8.438,22.041,10.418,4.523,2.194,0.497,0.336,0.067,0.027,0.002
2007,2.074,11.961,15.948,8.280,9.593,5.428,2.205,1.229,0.366,0.198,0.053,0.010
2008,2.616,4.850,12.585,11.973,5.238,4.582,2.040,0.831,0.308,0.053,0.037,0.004
2009,3.660,8.150,9.480,17.330,10.060,3.910,2.290,0.770,0.310,0.090,0.020,0.010
2010,3.174,7.219,9.385,8.692,10.695,5.588,1.599,1.095,0.337,0.197,0.071,0.016
2011,4.780,7.257,9.284,10.735,6.032,6.152,2.361,0.666,0.459,0.151,0.041,0.010
2012,3.839,10.010,10.400,9.435,8.866,4.834,3.206,1.269,0.369,0.218,0.101,0.030
2013,5.141,12.299,14.846,11.212,7.358,5.643,2.688,1.930,0.675,0.289,0.156,0.052
2014,5.263,7.371,13.304,12.984,8.831,4.829,3.112,1.570,1.027,0.360,0.100,0.089
